"value","quantile","type","forecast_date","target","target_end_date","location"
0,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.0375,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.4125,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.8625,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.3125,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.7625,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.0375,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.4125,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.8625,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1.2125,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1.6625,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1.92125,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.2125,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.6625,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.92125,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.3125,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.7625,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
1,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.2125,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.6625,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0.92125,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","16"
0,NA,"point",2022-01-24,"1 week ahead","2022-01-30","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.0375,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.4125,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.8625,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.2125,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.6625,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.92125,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.2125,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.6625,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.92125,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.2125,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.6625,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.92125,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.025,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.05,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.1,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.15,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.2,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.25,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.3,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.35,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.4,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.45,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.5,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.55,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.6,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.65,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.0375,0.7,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.4125,0.75,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0.8625,0.8,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.85,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.9,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.95,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.975,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
1,0.99,"quantile",2022-01-24,"2 week ahead","2022-02-06","16"
0,NA,"point",2022-01-24,"2 week ahead","2022-02-06","16"
0,0.01,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.025,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.05,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.1,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.15,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.2,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.25,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.3,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.35,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.4,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.45,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.5,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.55,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.6,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.65,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.7,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.75,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.8,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.85,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.9,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.95,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.975,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.99,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,NA,"point",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.01,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.025,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.05,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.1,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.15,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.2,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.25,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.3,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.35,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.4,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.45,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.5,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.55,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.6,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.65,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.7,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.75,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.8,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0.3125,0.85,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0.7625,0.9,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
1,0.95,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
1,0.975,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
1,0.99,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,NA,"point",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.01,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.025,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.05,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.1,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.15,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.2,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.25,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.3,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.35,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.4,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.45,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.5,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.55,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.6,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.65,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.7,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.75,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,0.8,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0.3125,0.85,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0.7625,0.9,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
1.2125,0.95,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
1.6625,0.975,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
1.92125,0.99,"quantile",2022-01-24,"3 week ahead","2022-02-13","16"
0,NA,"point",2022-01-24,"3 week ahead","2022-02-13","16"
